UTC;command
2025-05-29 17:49:24.084350+00:00;1
2025-05-29 17:50:26.394013+00:00;1
2025-05-29 17:51:28.743696+00:00;1
2025-05-29 17:52:30.899250+00:00;1
2025-05-29 17:53:33.107931+00:00;1
2025-05-29 17:54:40.536218+00:00;0
2025-05-29 17:54:40.537163+00:00;0
2025-05-29 17:55:42.691153+00:00;0
2025-05-29 17:56:44.925465+00:00;0
2025-05-29 17:57:52.280319+00:00;2
2025-05-29 17:57:52.281350+00:00;2
2025-05-29 17:58:54.507850+00:00;1
2025-05-29 17:59:56.581085+00:00;1
2025-05-29 18:00:58.792540+00:00;1
2025-05-29 18:02:01.036686+00:00;1
2025-05-29 18:03:03.172372+00:00;1
2025-05-29 18:04:05.464339+00:00;1
2025-05-29 18:05:12.906194+00:00;0
2025-05-29 18:05:12.906194+00:00;0
2025-05-29 18:06:15.027161+00:00;0
2025-05-29 18:07:17.273109+00:00;0
2025-05-29 18:08:24.610569+00:00;2
2025-05-29 18:08:24.611723+00:00;2
2025-05-29 18:09:32.024605+00:00;0
2025-05-29 18:09:32.024605+00:00;0
2025-05-29 18:10:34.303201+00:00;0
2025-05-29 18:11:36.487806+00:00;0
2025-05-29 18:12:38.723384+00:00;0
2025-05-29 18:13:40.845832+00:00;0
2025-05-29 18:14:42.989278+00:00;0
2025-05-29 18:15:50.386741+00:00;-2
2025-05-29 18:15:50.386741+00:00;-2
2025-05-29 18:16:52.525230+00:00;-1
2025-05-29 18:17:54.808453+00:00;-1
2025-05-29 18:18:57.105933+00:00;-1
2025-05-29 18:19:59.258825+00:00;-1
2025-05-29 18:21:01.510820+00:00;-1
2025-05-29 18:22:03.723361+00:00;-1
2025-05-29 18:23:05.994088+00:00;-1
2025-05-29 18:24:08.142252+00:00;-1
2025-05-29 18:25:10.321084+00:00;-1
2025-05-29 18:26:12.577635+00:00;-1
2025-05-29 18:27:14.708201+00:00;-1
2025-05-29 18:28:16.944403+00:00;-1
2025-05-29 18:29:19.165684+00:00;-1
2025-05-29 18:30:21.363504+00:00;-1
2025-05-29 18:31:23.625436+00:00;-2
2025-05-29 18:32:25.770439+00:00;-1
2025-05-29 18:33:27.992615+00:00;-1
2025-05-29 18:34:30.172380+00:00;-2
2025-05-29 18:35:37.643247+00:00;0
2025-05-29 18:35:37.644248+00:00;0
2025-05-29 18:36:39.887987+00:00;0
2025-05-29 18:37:42.015615+00:00;0
2025-05-29 18:38:44.279450+00:00;0
